"UID","OrganizationIdentifier","OrganizationFormalName","ProviderName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","IR_FLAG","IR_COMMENT","IR_MLID","IR_MLNAME","ASSESS_ID","AU_NAME","AU_Type","Water_Type","R317Descrp","ss_R317Descrp","BEN_CLASS","MLID_Count","Lat_Count","Long_Count","sites100m_count","LatitudeMeasure","LongitudeMeasure","IR_Lat","IR_Long","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ValidationType"
20,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","NTHRNUTE-DLF","Duchesne River","River/Stream","Bridgeland at bridge (confluence of Strawberry and Indian Canyon)","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-006_00","Duchesne River-3","River/Stream","River / Stream","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters",NA,"1C,2B,3A,4",NA,NA,NA,NA,40.16232883,-110.232954,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
21,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","NTHRNUTE-DLF2","Duchesne River 2","River/Stream","DLF2 replaced DLF in 2017 due to issues accessing the original location","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-006_00","Duchesne River-3","River/Stream","River / Stream","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters",NA,"1C,2B,3A,4",NA,NA,NA,NA,40.16763183,-110.16634,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
22,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","NTHRNUTE-G4C","4 Corners","River/Stream","Dry Gulch near Four Corners Bridge South of Fort Duchesne West of Randlett","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-009_00","Dry Gulch Creek","River/Stream","River / Stream","Duchesne River and tributaries, from confluence with Green River to Myton Water Treatment Plant intake, except as listed below",NA,"2B,3B,4",NA,NA,NA,NA,40.24153,-109.85905,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS Carrier Phase Static Relative Position","WGS84",4865,"ft",NA,NA,"GPS Carrier Phase Static Relative Position","SEALV","US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
23,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","NTHRNUTE-IDR","INDIAN CREEK","River/Stream",NA,"ACCEPT","Automatically accepted","NTHRNUTE-IDR","INDIAN CREEK","UT14060004-002_00","Indian Canyon Creek","River/Stream","River / Stream","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters",NA,"1C,2B,3A,4",1,1,1,0,40.15718039,-110.4057107,40.15718039,-110.4057107,14060004,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
24,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","NTHRNUTE-RKD","Rock Creek","River/Stream","Knights Diversion below 3rd bridge.","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-016_00","Rock Creek Lower","River/Stream","River / Stream","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters",NA,"1C,2B,3A,4",NA,NA,NA,NA,40.31107983,-110.493852,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
25,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","NTHRNUTE-SCC","Sowers Canyon Creek","River/Stream","River/Stream","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-005_00","Antelope Creek","River/Stream","River / Stream","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters",NA,"1C,2B,3A,4",NA,NA,NA,NA,40.06155483,-110.290383,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
26,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","NTHRNUTE-SSD","STRAWBERRY RIVER NEAR DUCHESNE","River/Stream",NA,"REVIEW","Manually accepted","NTHRNUTE-SSD","STRAWBERRY RIVER NEAR DUCHESNE","UT14060004-004_00","Strawberry River-2","River/Stream","River / Stream","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters",NA,"1C,2B,3A,4",1,1,2,2,40.15467931,-110.5548785,40.15467931,-110.5548785,14060004,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
27,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","NTHRNUTE-UBH","Bottle Hallow Reservoir","Lake",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-004_00","Uinta River-2","River/Stream","Lake / Reservoir","Bottle Hollow Reservoir",NA,"2B,3A,4",NA,NA,NA,NA,40.29436944,-109.8842333,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
28,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","NTHRNUTE-UBS","Big Springs","River/Stream","Big Springs above Big Springs Ponds/Powerhouse Canal bifurcation","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-010_00","Uinta River-3","River/Stream","River / Stream","Uinta River and tributaries, From Highway US-4- crossing to headwaters",NA,"2B,3A,4",NA,NA,NA,NA,40.598033,-110.129833,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS Carrier Phase Static Relative Position","WGS84",7295,"ft",NA,NA,"GPS Carrier Phase Static Relative Position","SEALV","US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
29,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","NTHRNUTE-UCC","Coltharpe Canal","River/Stream","Coltharpe Canal below diversion from UintahRiver at Sundance Grounds","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-010_00","Uinta River-3","River/Stream","River / Stream","Uinta River and tributaries, From Highway US-4- crossing to headwaters",NA,"2B,3A,4",NA,NA,NA,NA,40.4583,-109.95245,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS Carrier Phase Static Relative Position","WGS84",5919,"ft",NA,NA,"GPS Carrier Phase Static Relative Position","SEALV","US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
30,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","NTHRNUTE-UFD","Ft. Duchesne","River/Stream","Uintah River at US 40 Bridge","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-010_00","Uinta River-3","River/Stream","River / Stream","Uinta River and tributaries, From Highway US-4- crossing to headwaters",NA,"2B,3A,4",NA,NA,NA,NA,40.30195,-109.85315,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS Carrier Phase Static Relative Position","WGS84",5018,"ft",NA,NA,"GPS Carrier Phase Static Relative Position","SEALV","US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
31,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","NTHRNUTE-URN","Randlett","River/Stream","Uintah River between Randlett and Confluence with Duchesne","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-003_00","Uinta River-1","River/Stream","River / Stream","Uinta River and tributaries, From confluence with Duchesne River to Highway US-40 crossing",NA,"2B,3B,4",NA,NA,NA,NA,40.23341,-109.80399,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS Carrier Phase Static Relative Position","WGS84",4767,"ft",NA,NA,"GPS Carrier Phase Static Relative Position","SEALV","US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
32,"USGS-AZ","USGS Arizona Water Science Center","NWIS","USGS-370031111300100","LAKE POWELL AT STATE LINE","Lake, Reservoir, Impoundment",NA,"ACCEPT","Automatically accepted","USGS-370031111300100","LAKE POWELL AT STATE LINE","UT-L-14070006-001_00","Lake Powell","Reservoir/Lake","Lake / Reservoir","Lake Powell (Utah portion)",NA,"1C,2A,3B,4",1,1,1,0,37.0086111,-111.5002778,37.0086111,-111.5002778,14070006,NA,NA,NA,NA,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","WGS84",3700,"feet",20,"feet","Global Positioning System.","NAVD88","US",49,25,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
33,"USGS-AZ","USGS Arizona Water Science Center","NWIS","USGS-370107111320500","LAKE POWELL AT LONE ROCK BEACH","Lake, Reservoir, Impoundment",NA,"ACCEPT","Automatically accepted","USGS-370107111320500","LAKE POWELL AT LONE ROCK BEACH","UT-L-14070006-001_00","Lake Powell","Reservoir/Lake","Lake / Reservoir","Lake Powell (Utah portion)",NA,"1C,2A,3B,4",1,1,1,0,37.0186111,-111.5347222,37.0186111,-111.5347222,14070006,NA,NA,NA,NA,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","WGS84",3700,"feet",20,"feet","Global Positioning System.","NAVD88","US",49,25,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
34,"USGS-AZ","USGS Arizona Water Science Center","NWIS","USGS-370333111262700","WARM CREEK BAY @ LAKE POWELL","Lake, Reservoir, Impoundment",NA,"ACCEPT","Automatically accepted","USGS-370333111262700","WARM CREEK BAY @ LAKE POWELL","UT-L-14070006-001_00","Lake Powell","Reservoir/Lake","Lake / Reservoir","Lake Powell (Utah portion)",NA,"1C,2A,3B,4",1,1,1,0,37.0591667,-111.4408333,37.0591667,-111.4408333,14070006,NA,NA,NA,NA,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","WGS84",3700,"feet",20,"feet","Global Positioning System.","NAVD88","US",49,25,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
35,"USGS-AZ","USGS Arizona Water Science Center","NWIS","USGS-370506110581600","RAINBOW BRIDGE @ LAKE POWELL","Lake, Reservoir, Impoundment",NA,"ACCEPT","Automatically accepted","USGS-370506110581600","RAINBOW BRIDGE @ LAKE POWELL","UT-L-14070006-001_00","Lake Powell","Reservoir/Lake","Lake / Reservoir","Lake Powell (Utah portion)",NA,"1C,2A,3B,4",1,1,1,0,37.085,-110.9711111,37.085,-110.9711111,14070006,NA,NA,NA,NA,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","WGS84",3700,"feet",20,"feet","Global Positioning System.","NAVD88","US",49,37,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
36,"USGS-AZ","USGS Arizona Water Science Center","NWIS","USGS-370708111045100","DANGLING ROPE MARINA @ LAKE POWELL","Lake, Reservoir, Impoundment",NA,"ACCEPT","Automatically accepted","USGS-370708111045100","DANGLING ROPE MARINA @ LAKE POWELL","UT-L-14070006-001_00","Lake Powell","Reservoir/Lake","Lake / Reservoir","Lake Powell (Utah portion)",NA,"1C,2A,3B,4",1,1,1,0,37.1188889,-111.0808333,37.1188889,-111.0808333,14070006,NA,NA,NA,NA,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","WGS84",3700,"feet",20,"feet","Global Positioning System.","NAVD88","US",49,25,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
